"","lake","species","bill_length_mm","bill_depth_mm","leg_length_mm","body_mass_g","sex","year"
"1","Bogoria","Lesser Flamingo",101.2,25.9,265.1,1330,"female",2022
"2","Nakuru","Greater Flamingo",135.8,22.5,371.8,2841,"female",2023
"3","Nakuru","Lesser Flamingo",96.1,26.9,278,1646,"male",2022
"4","Elementaita","Greater Flamingo",131.1,25.7,360.4,3476,"male",2022
"5","Nakuru","Lesser Flamingo",94.1,24.3,264.1,1620,"female",2021
"6","Nakuru","Lesser Flamingo",98.4,25.9,272.3,1963,"male",2022
"7","Elementaita","Lesser Flamingo",92.6,24.8,268.4,1819,"female",2021
"8","Elementaita","Lesser Flamingo",94.5,27.8,272.6,1578,"female",2023
"9","Bogoria","Greater Flamingo",132.4,21.6,375.1,3242,"male",2023
"10","Nakuru","Greater Flamingo",137,20.5,361.4,3074,"male",2023
"11","Nakuru","Lesser Flamingo",96.4,29.1,276.8,2165,"male",2022
"12","Bogoria","Lesser Flamingo",96.1,27.1,274.9,1420,"male",2022
"13","Nakuru","Lesser Flamingo",97.4,30.6,268.8,1633,"female",2021
"14","Bogoria","Lesser Flamingo",94.9,28.2,255.4,1463,"female",2021
"15","Nakuru","Lesser Flamingo",99.4,29.5,270.9,1527,"male",2022
"16","Bogoria","Lesser Flamingo",105.6,25.6,257.6,1731,"male",2021
"17","Bogoria","Lesser Flamingo",99,23.1,284.7,1843,"male",2021
"18","Nakuru","Lesser Flamingo",100.3,27.3,273.3,1756,"male",2023
"19","Nakuru","Lesser Flamingo",91.9,29.8,287.4,1655,"male",2021
"20","Nakuru","Lesser Flamingo",96,25.4,241.7,1728,"female",2022
"21","Nakuru","Lesser Flamingo",93.5,25.6,287.6,1847,"male",2023
"22","Elementaita","Lesser Flamingo",104.9,25.9,277.5,1884,"male",2022
"23","Bogoria","Lesser Flamingo",97.6,25.4,255.7,1628,"female",2023
"24","Bogoria","Lesser Flamingo",92.6,27.2,249.1,1589,"female",2021
"25","Elementaita","Lesser Flamingo",98.2,27.9,266.7,1436,"female",2022
"26","Nakuru","Lesser Flamingo",95.2,21.3,271.6,1602,"female",2023
"27","Bogoria","Lesser Flamingo",98.7,24.1,270,1609,"female",2023
"28","Bogoria","Lesser Flamingo",95.3,22.5,284.5,1894,"male",2022
"29","Bogoria","Lesser Flamingo",89.6,26,260.9,1678,"female",2023
"30","Bogoria","Lesser Flamingo",103,29,267.5,NA,"female",2021
"31","Nakuru","Lesser Flamingo",92.9,28.6,266.8,1683,"female",2022
"32","Nakuru","Lesser Flamingo",103.5,28.2,273.7,1955,"male",2023
"33","Bogoria","Lesser Flamingo",96.9,30.4,248.1,1550,"female",2023
"34","Bogoria","Lesser Flamingo",95.9,26,275.5,1682,"female",2022
"35","Elementaita","Greater Flamingo",123.2,20,351.6,3069,"male",2022
"36","Elementaita","Greater Flamingo",124.7,21.9,363.4,2699,"male",2021
"37","Elementaita","Lesser Flamingo",95,32,284.4,1937,"male",2021
"38","Elementaita","Greater Flamingo",125.1,21.9,357,3244,"female",2021
"39","Bogoria","Lesser Flamingo",105.8,27.8,267.8,1861,"male",2021
"40","Elementaita","Greater Flamingo",130,21.3,338,2702,"female",2023
"41","Bogoria","Lesser Flamingo",95.6,26.6,262.8,1714,"female",2021
"42","Elementaita","Greater Flamingo",127.5,24.7,375.1,3182,"female",2022
"43","Elementaita","Lesser Flamingo",104.8,25,281.1,1881,"male",2021
"44","Nakuru","Lesser Flamingo",107.9,26,281.9,1809,"male",2022
"45","Nakuru","Lesser Flamingo",102.5,24,265.5,1787,"male",2021
"46","Bogoria","Lesser Flamingo",98.1,27.4,297.3,1915,"male",2022
"47","Bogoria","Lesser Flamingo",98.6,24.9,286.5,1667,"male",2022
"48","Elementaita","Lesser Flamingo",102.2,25.1,251.6,1427,"female",2022
"49","Nakuru","Lesser Flamingo",94.8,26,248.1,1349,"female",2022
"50","Nakuru","Lesser Flamingo",99.9,28.9,262.2,1449,"female",2023
"51","Bogoria","Lesser Flamingo",95.3,27.7,259,1781,"female",2022
"52","Nakuru","Lesser Flamingo",95.5,27.3,254.9,1668,"female",2022
"53","Bogoria","Lesser Flamingo",91.5,26.7,250.2,1470,"female",2022
"54","Nakuru","Lesser Flamingo",92.2,32.8,273.8,1491,"female",2021
"55","Nakuru","Lesser Flamingo",92,25.6,263.2,1504,"female",2023
"56","Elementaita","Lesser Flamingo",99.1,25.7,280.9,1948,"male",2023
"57","Nakuru","Lesser Flamingo",96.3,27.2,297,1774,"male",2021
"58","Nakuru","Lesser Flamingo",96,22.9,287.9,1831,"male",2022
"59","Nakuru","Greater Flamingo",126.2,22.3,354.8,2945,"female",2022
"60","Elementaita","Greater Flamingo",132.1,25.5,338.3,3326,"male",2022
"61","Nakuru","Lesser Flamingo",98.4,29.5,279.2,1860,"male",2023
"62","Nakuru","Lesser Flamingo",97.2,21.7,270.4,1910,"male",2023
"63","Bogoria","Lesser Flamingo",94.2,27.3,266.9,1521,"female",2021
"64","Nakuru","Greater Flamingo",133.9,23.5,374.9,2947,"male",2021
"65","Bogoria","Lesser Flamingo",102.6,28.3,279.4,1927,"male",2021
"66","Nakuru","Greater Flamingo",116.8,20.2,366.5,3005,"male",2021
"67","Bogoria","Lesser Flamingo",98.9,27.8,252,1981,"male",2022
"68","Nakuru","Lesser Flamingo",104.6,26.2,285.4,1744,"male",2022
"69","Bogoria","Lesser Flamingo",103.3,24.8,270.1,1734,"male",2021
"70","Nakuru","Lesser Flamingo",104.6,29.9,260.8,1805,"female",2023
